Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	yeast1 Spectral Count	yeast2 Spectral Count	yeast3 Spectral Count	yeast1 Unique Spectral Count	yeast2 Unique Spectral Count	yeast3 Unique Spectral Count	yeast1 Total Spectral Count	yeast2 Total Spectral Count	yeast3 Total Spectral Count	yeast1 Intensity	yeast2 Intensity	yeast3 Intensity	yeast1 MaxLFQ Intensity	yeast2 MaxLFQ Intensity	yeast3 MaxLFQ Intensity	Indistinguishable Proteins
sp|Q00711|SDHA_YEAST	Q00711	SDHA_YEAST	SDH1	640	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	0.999	0.999	2	2	2	2	2	0	0	2	0	0	2	0	0	2002031.6	1748702.2	2728169.2	2002031.6	1748702.2	2728169.2	
sp|Q00764|TPS1_YEAST	Q00764	TPS1_YEAST	TPS1	495	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Alpha,alpha-trehalose-phosphate synthase [UDP-forming] 56 kDa subunit	1.0	0.999	11	104	104	104	34	35	35	34	35	35	34	35	35	4.14121888E8	3.55833536E8	3.97455936E8	8.7458976E7	7.835716E7	7.5502472E7	
sp|Q00772|SLT2_YEAST	Q00772	SLT2_YEAST	SLT2	484	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitogen-activated protein kinase SLT2/MPK1	1.0	0.999	3	7	7	12	2	2	3	2	2	3	3	4	5	6531484.0	6646630.0	9570348.0	3680103.8	3756946.2	5509223.5	
sp|Q00816|REG1_YEAST	Q00816	REG1_YEAST	REG1	1014	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Resistance to glucose repression protein 1	0.9999	0.9989	3	7	7	7	3	1	3	3	1	3	3	1	3	3307655.8	2207446.5	3052049.8	3307655.8	2207446.5	1938184.5	
sp|Q00873|CYT2_YEAST	Q00873	CYT2_YEAST	CYT2	224	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Holocytochrome-c1 synthase	0.9659	0.999	1	1	1	1	1	0	0	1	0	0	1	0	0	2566935.8	0.0	0.0	0.0	0.0	0.0	
sp|Q00955|ACAC_YEAST	Q00955	ACAC_YEAST	ACC1	2233	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Acetyl-CoA carboxylase	1.0	0.999	72	400	386	400	131	135	134	127	130	129	131	135	134	1.29095206E9	1.17927821E9	1.33358541E9	6.811268E7	6.643518E7	7.3195688E7	
sp|Q01080|RPA49_YEAST	Q01080	RPA49_YEAST	RPA49	415	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	DNA-directed RNA polymerase I subunit RPA49	0.9999	0.999	2	4	4	4	2	1	1	2	1	1	2	1	1	1.0438537E7	6726274.0	7377198.0	6061917.0	3805217.5	4229174.5	
sp|Q01454|CTF4_YEAST	Q01454	CTF4_YEAST	CTF4	927	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	DNA polymerase alpha-binding protein	0.945	0.9983	1	1	1	1	1	0	0	1	0	0	1	0	0	1655226.0	1932110.0	1886339.1	1655226.0	1932110.0	1886339.1	
sp|Q01476|UBP2_YEAST	Q01476	UBP2_YEAST	UBP2	1272	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ubiquitin carboxyl-terminal hydrolase 2	1.0	0.999	3	8	8	8	2	3	3	2	3	3	2	3	3	6843045.0	9387806.0	1.2012429E7	4119874.2	5461858.5	5389597.5	
sp|Q01477|UBP3_YEAST	Q01477	UBP3_YEAST	UBP3	912	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ubiquitin carboxyl-terminal hydrolase 3	1.0	0.999	3	7	7	7	2	3	2	2	3	2	2	3	2	1.8449158E7	2.632927E7	1.0784719E7	7633098.0	1.1224952E7	1.0409298E7	
sp|Q01532|BLH1_YEAST	Q01532	BLH1_YEAST	LAP3	483	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cysteine proteinase 1, mitochondrial	1.0	0.999	5	13	13	13	4	4	5	4	4	5	4	4	5	3.819672E7	3.8066136E7	4.0453336E7	1.3993975E7	1.4251674E7	1.4768548E7	
sp|Q01560|NOP3_YEAST	Q01560	NOP3_YEAST	NPL3	414	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Serine/arginine (SR)-type shuttling mRNA binding protein NPL3	1.0	0.999	8	56	56	56	19	19	18	19	19	18	19	19	18	2.09909488E8	1.96192976E8	1.79468208E8	4.6792936E7	4.5886592E7	4.20445E7	
sp|Q01574|ACS1_YEAST	Q01574	ACS1_YEAST	ACS1	713	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Acetyl-coenzyme A synthetase 1	0.9946	0.999	2	1	1	11	1	0	0	1	0	0	3	5	3	5918674.0	4790350.0	4350273.0	5918674.0	4790350.0	4350273.0	
sp|Q01662|MAP1_YEAST	Q01662	MAP1_YEAST	MAP1	387	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Methionine aminopeptidase 1	1.0	0.999	5	31	31	31	10	13	8	10	13	8	10	13	8	8.5624176E7	9.436916E7	9.0732824E7	2.5072948E7	2.733221E7	2.8032018E7	
sp|Q01852|TIM44_YEAST	Q01852	TIM44_YEAST	TIM44	431	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial import inner membrane translocase subunit TIM44	1.0	0.999	9	22	22	22	11	7	4	11	7	4	11	7	4	5.227886E7	4.7780724E7	5.140644E7	1.4744026E7	1.4586925E7	1.5699924E7	
sp|Q01855|RS15_YEAST	Q01855	RS15_YEAST	RPS15	142	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	40S ribosomal protein S15	1.0	0.999	4	36	36	36	11	12	13	11	12	13	11	12	13	1.15825395E9	1.26129203E9	1.0433223E9	7.5958125E8	8.2276877E8	7.6312358E8	
sp|Q01939|PRS8_YEAST	Q01939	PRS8_YEAST	RPT6	405	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome regulatory subunit 8 homolog	1.0	0.999	12	48	37	48	16	15	17	12	12	13	16	15	17	1.10624944E8	1.08748872E8	1.02633312E8	3.2195658E7	3.2338128E7	2.7510356E7	
sp|Q01976|ADPP_YEAST	Q01976	ADPP_YEAST	YSA1	231	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ADP-ribose pyrophosphatase	1.0	0.999	4	12	12	12	5	3	4	5	3	4	5	3	4	3.9727004E7	2.1990828E7	3.4193796E7	1.4447557E7	9735911.0	1.1615923E7	
sp|Q02046|MTD1_YEAST	Q02046	MTD1_YEAST	MTD1	320	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Methylenetetrahydrofolate dehydrogenase [NAD(+)]	1.0	0.999	7	31	31	31	10	12	9	10	12	9	10	12	9	4.8472396E7	6.171332E7	6.2283412E7	1.5241962E7	1.4944114E7	1.770754E7	
sp|Q02196|KAPS_YEAST	Q02196	KAPS_YEAST	MET14	202	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Adenylyl-sulfate kinase	0.9986	0.999	2	4	4	4	2	1	1	2	1	1	2	1	1	1.2960562E7	9832986.0	1.110719E7	9996031.0	7690217.5	8422656.0	
sp|Q02199|NUP49_YEAST	Q02199	NUP49_YEAST	NUP49	472	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nucleoporin NUP49/NSP49	0.9667	0.999	1	1	1	1	0	0	1	0	0	1	0	0	1	3472321.2	2420873.0	2841000.5	3472321.2	2420873.0	2841000.5	
sp|Q02201|OSH6_YEAST	Q02201	OSH6_YEAST	OSH6	448	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Oxysterol-binding protein homolog 6	1.0	0.9983	4	4	4	9	3	0	1	3	0	1	5	2	2	9049915.0	4825115.5	8402390.0	4109596.2	3517939.0	3847711.2	
sp|Q02206|RSC4_YEAST	Q02206	RSC4_YEAST	RSC4	625	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Chromatin structure-remodeling complex subunit RSC4	0.8819	0.996	1	1	1	1	1	0	0	1	0	0	1	0	0	397470.94	3510315.8	2959103.0	397470.94	3510315.8	2959103.0	
sp|Q02256|PVH1_YEAST	Q02256	PVH1_YEAST	YVH1	364	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Tyrosine-protein phosphatase YVH1	0.7719	0.9913	1	1	1	1	0	0	1	0	0	1	0	0	1	3218878.5	0.0	2818343.5	3218878.5	0.0	2818343.5	
sp|Q02326|RL6A_YEAST	Q02326	RL6A_YEAST	RPL6A	176	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L6-A	1.0	0.999	9	81	81	155	28	24	29	28	24	29	51	46	58	3.17652672E8	3.31992608E8	3.08804576E8	1.48338464E8	1.634048E8	1.49791696E8	
sp|Q02354|UTP6_YEAST	Q02354	UTP6_YEAST	UTP6	440	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	U3 small nucleolar RNA-associated protein 6	0.9334	0.9979	1	3	3	3	1	1	1	1	1	1	1	1	1	5068728.5	3884796.0	6272405.5	5068728.5	3884796.0	6272405.5	
sp|Q02455|MLP1_YEAST	Q02455	MLP1_YEAST	MLP1	1875	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein MLP1	0.9968	0.999	3	3	3	3	0	2	1	0	2	1	0	2	1	2587849.5	3141004.2	5227833.5	2587849.5	3141004.2	5227833.5	
sp|Q02486|ABF2_YEAST	Q02486	ABF2_YEAST	ABF2	183	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ARS-binding factor 2, mitochondrial	1.0	0.999	6	20	20	20	6	6	8	6	6	8	6	6	8	9.102244E7	8.1165728E7	8.4076864E7	2.3243006E7	2.1052774E7	2.1684094E7	
sp|Q02642|NACB1_YEAST	Q02642	NACB1_YEAST	EGD1	157	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nascent polypeptide-associated complex subunit beta-1	0.8444	0.9945	1	11	11	11	4	3	4	4	3	4	4	3	4	1.06016E8	1.06256352E8	8.3609328E7	1.06016E8	1.06256352E8	8.3609328E7	
sp|Q02647|DYL1_YEAST	Q02647	DYL1_YEAST	DYN2	92	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Dynein light chain 1, cytoplasmic	0.7894	0.9921	1	2	2	2	1	0	1	1	0	1	1	0	1	7988582.0	6335862.0	8501250.0	7988582.0	6335862.0	8501250.0	
sp|Q02725|VTC3_YEAST	Q02725	VTC3_YEAST	VTC3	835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Vacuolar transporter chaperone 3 complex subunit 3	1.0	0.999	23	71	61	71	26	23	22	23	19	19	26	23	22	1.99233024E8	2.00658384E8	2.10887664E8	3.0928512E7	2.9402526E7	3.1058104E7	
sp|Q02753|RL21A_YEAST	Q02753	RL21A_YEAST	RPL21A	160	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L21-A	1.0	0.999	8	131	29	131	41	40	50	8	10	11	41	40	50	1.05792006E9	9.6043981E8	9.4315904E8	3.18498592E8	2.88588768E8	2.76852576E8	
sp|Q02767|VPS28_YEAST	Q02767	VPS28_YEAST	VPS28	242	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Vacuolar protein sorting-associated protein 28	0.8223	0.9936	1	1	1	1	1	0	0	1	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q02774|SHR3_YEAST	Q02774	SHR3_YEAST	SHR3	210	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Secretory component protein SHR3	0.9662	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	8815934.0	9046585.0	1.0478463E7	8815934.0	9046585.0	1.0478463E7	
sp|Q02776|TIM50_YEAST	Q02776	TIM50_YEAST	TIM50	476	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial import inner membrane translocase subunit TIM50	1.0	0.999	7	29	29	29	9	11	9	9	11	9	9	11	9	5.609358E7	7.1108144E7	6.5788096E7	1.4593598E7	1.9077748E7	1.7134134E7	
sp|Q02793|SKI8_YEAST	Q02793	SKI8_YEAST	SKI8	397	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Antiviral protein SKI8	0.9674	0.999	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q02795|OSTD_YEAST	Q02795	OSTD_YEAST	SWP1	286	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit SWP1	1.0	0.999	2	4	4	4	2	1	1	2	1	1	2	1	1	2.411468E7	2.613314E7	8998218.0	1.228179E7	1.4303797E7	1.5264345E7	
sp|Q02821|IMA1_YEAST	Q02821	IMA1_YEAST	SRP1	542	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Importin subunit alpha	1.0	0.999	9	32	32	32	11	12	9	11	12	9	11	12	9	9.78848E7	9.8561144E7	8.1284632E7	1.7400376E7	1.7470076E7	1.4788563E7	
sp|Q02887|ATG21_YEAST	Q02887	ATG21_YEAST	ATG21	496	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Autophagy-related protein 21	0.7839	0.9919	1	1	1	1	0	1	0	0	1	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q02889|MGR2_YEAST	Q02889	MGR2_YEAST	MGR2	113	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein MGR2	0.9674	0.999	1	2	2	2	0	1	1	0	1	1	0	1	1	3373333.8	3821891.2	5604897.5	3373333.8	3821891.2	5604897.5	
sp|Q02892|NOG1_YEAST	Q02892	NOG1_YEAST	NOG1	647	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nucleolar GTP-binding protein 1	0.9999	0.999	2	5	5	5	1	3	1	1	3	1	1	3	1	4915218.0	1.4934178E7	2839469.8	4401147.5	1.1682026E7	1868248.1	
sp|Q02896|YDC1_YEAST	Q02896	YDC1_YEAST	YDC1	317	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Alkaline ceramidase YDC1	0.63	0.9828	1	3	3	3	1	1	1	1	1	1	1	1	1	1434539.0	1797367.1	1944403.1	1434539.0	1797367.1	1944403.1	
sp|Q02931|UTP17_YEAST	Q02931	UTP17_YEAST	NAN1	896	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	NET1-associated nuclear protein 1	1.0	0.999	2	3	3	3	1	1	1	1	1	1	1	1	1	8439767.0	9488588.0	1.079158E7	6715492.5	7789385.5	8313775.0	
sp|Q02933|RNY1_YEAST	Q02933	RNY1_YEAST	RNY1	434	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ribonuclease T2-like	0.9597	0.9988	1	2	2	2	0	1	1	0	1	1	0	1	1	1073355.6	963655.25	1469740.2	1073355.6	963655.25	1469740.2	
sp|Q02939|TFB2_YEAST	Q02939	TFB2_YEAST	TFB2	513	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	General transcription and DNA repair factor IIH subunit TFB2	0.7617	0.9908	1	1	1	1	0	1	0	0	1	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|Q03034|FDC1_YEAST	Q03034	FDC1_YEAST	FDC1	503	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ferulic acid decarboxylase 1	1.0	0.999	4	7	7	7	3	2	2	3	2	2	3	2	2	5700353.0	6288160.0	7033409.0	3325995.8	3734044.5	4014570.5	
sp|Q03048|COFI_YEAST	Q03048	COFI_YEAST	COF1	143	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cofilin	1.0	0.999	5	77	77	77	25	26	26	25	26	26	25	26	26	6.2828762E8	7.5046317E8	8.7223046E8	2.56412864E8	3.17587392E8	2.96684416E8	
sp|Q03088|SVL3_YEAST	Q03088	SVL3_YEAST	SVL3	825	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Styryl dye vacuolar localization protein 3	1.0	0.999	3	4	4	4	3	1	0	3	1	0	3	1	0	1.8895786E7	1.6790162E7	9475332.0	7963834.5	7648941.0	7100970.5	
sp|Q03102|YMN1_YEAST	Q03102	YMN1_YEAST	YML131W	365	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uncharacterized membrane protein YML131W	1.0	0.999	5	12	12	12	5	3	4	5	3	4	5	3	4	2.0124754E7	1.6773989E7	2.1606702E7	7200831.5	6274822.0	7493773.5	
sp|Q03103|ERO1_YEAST	Q03103	ERO1_YEAST	ERO1	563	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Endoplasmic oxidoreductin-1	1.0	0.999	5	13	13	13	4	5	4	4	5	4	4	5	4	1.641244E7	1.8794666E7	1.6966612E7	4586459.5	6058335.0	5333876.5	
sp|Q03104|MSC1_YEAST	Q03104	MSC1_YEAST	MSC1	513	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Meiotic sister chromatid recombination protein 1	1.0	0.999	10	38	38	38	13	13	12	13	13	12	13	13	12	1.1036056E8	1.01808632E8	1.20971072E8	2.3173418E7	1.978952E7	2.2523704E7	
sp|Q03124|RSC9_YEAST	Q03124	RSC9_YEAST	RSC9	581	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Chromatin structure-remodeling complex subunit RSC9	0.9999	0.999	2	6	6	6	2	2	2	2	2	2	2	2	2	4658500.5	5963663.5	8310770.0	2921564.8	3745212.8	4899014.0	
sp|Q03148|SNZ1_YEAST	Q03148	SNZ1_YEAST	SNZ1	297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Pyridoxal 5'-phosphate synthase subunit SNZ1	1.0	0.999	8	29	15	29	11	8	10	5	5	5	11	8	10	1.210222E8	8.260512E7	7.9402672E7	3.1533398E7	2.3866054E7	2.546823E7	
sp|Q03161|YMY9_YEAST	Q03161	YMY9_YEAST	YMR099C	297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glucose-6-phosphate 1-epimerase	1.0	0.999	14	60	60	60	18	21	21	18	21	21	18	21	21	2.10493296E8	2.1136E8	2.39109952E8	3.6326096E7	3.7083872E7	3.6221312E7	
sp|Q03195|RLI1_YEAST	Q03195	RLI1_YEAST	RLI1	608	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Translation initiation factor RLI1	1.0	0.999	16	45	45	45	18	15	12	18	15	12	18	15	12	1.0446308E8	9.8834432E7	9.2307992E7	1.5739989E7	1.4655874E7	1.4726197E7	
sp|Q03219|YM44_YEAST	Q03219	YM44_YEAST	YMR178W	274	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uncharacterized protein YMR178W	1.0	0.999	2	6	6	6	2	2	2	2	2	2	2	2	2	1.3479076E7	1.1423284E7	1.1056468E7	7584129.0	6669813.5	6376081.5	
sp|Q03254|FCP1_YEAST	Q03254	FCP1_YEAST	FCP1	732	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	RNA polymerase II subunit A C-terminal domain phosphatase	0.999	0.9986	2	3	3	3	2	0	1	2	0	1	2	0	1	5516184.5	6484163.0	6051760.0	5516184.5	6484163.0	6051760.0	
sp|Q03262|PGM3_YEAST	Q03262	PGM3_YEAST	PRM15	622	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Phosphoribomutase	1.0	0.999	3	8	8	8	3	2	3	3	2	3	3	2	3	7625486.0	1.1190401E7	1.2659599E7	4674531.0	5699452.0	6881403.5	
sp|Q03280|TOM1_YEAST	Q03280	TOM1_YEAST	TOM1	3268	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase TOM1	1.0	0.9989	3	5	5	5	2	3	0	2	3	0	2	3	0	4560669.5	1.0248608E7	9072883.0	4929407.5	5989938.0	4829323.5	
sp|Q03337|TRS31_YEAST	Q03337	TRS31_YEAST	TRS31	283	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Trafficking protein particle complex subunit 31	0.9341	0.9979	1	2	2	2	1	1	0	1	1	0	1	1	0	741635.8	1294584.4	1150685.4	741635.8	1294584.4	1150685.4	
sp|Q03362|YD476_YEAST	Q03362	YD476_YEAST	YDR476C	224	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uncharacterized protein YDR476C	1.0	0.999	2	12	12	12	3	4	5	3	4	5	3	4	5	1.806538E7	1.967618E7	1.9354966E7	1.2743707E7	1.5802332E7	1.6498829E7	
sp|Q03375|CWC21_YEAST	Q03375	CWC21_YEAST	CWC21	135	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Pre-mRNA-splicing factor CWC21	0.612	0.9815	1	1	1	1	0	0	1	0	0	1	0	0	1	1.6032411E7	5877916.0	4850995.5	1.6032411E7	5877916.0	4850995.5	
sp|Q03516|RSN1_YEAST	Q03516	RSN1_YEAST	RSN1	953	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uncharacterized protein RSN1	1.0	0.999	2	3	3	3	1	0	2	1	0	2	1	0	2	2650320.8	3782616.2	4596337.5	2650320.8	2762220.0	3265566.2	
sp|Q03529|SCS7_YEAST	Q03529	SCS7_YEAST	SCS7	384	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ceramide very long chain fatty acid hydroxylase SCS7	1.0	0.999	5	12	12	12	4	4	4	4	4	4	4	4	4	4.1793164E7	3.3234928E7	3.1784252E7	1.4818025E7	1.3036033E7	1.3017456E7	
sp|Q03532|HAS1_YEAST	Q03532	HAS1_YEAST	HAS1	505	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ATP-dependent RNA helicase HAS1	1.0	0.999	6	13	13	13	4	7	2	4	7	2	4	7	2	2.8417146E7	2.7966404E7	6.9439712E7	1.4073117E7	1.472083E7	1.2885639E7	
sp|Q03533|TDA1_YEAST	Q03533	TDA1_YEAST	TDA1	586	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Serine/threonine-protein kinase TDA1	0.819	0.9935	1	2	2	2	1	0	1	1	0	1	1	0	1	3399667.2	3160895.0	3745303.2	3399667.2	3160895.0	3745303.2	
sp|Q03558|OYE2_YEAST	Q03558	OYE2_YEAST	OYE2	400	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	NADPH dehydrogenase 2	1.0	0.999	17	210	184	210	68	70	72	60	62	62	68	70	72	1.04472282E9	1.08299942E9	1.08018227E9	1.89917376E8	1.84981536E8	1.96305872E8	
sp|Q03559|YM8V_YEAST	Q03559	YM8V_YEAST	YMR295C	197	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uncharacterized protein YMR295C	1.0	0.999	2	6	6	6	2	2	2	2	2	2	2	2	2	6411316.0	1.2313856E7	1.3745158E7	4122622.0	7375603.5	8944650.0	
sp|Q03579|LIP1_YEAST	Q03579	LIP1_YEAST	LIP1	150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ceramide synthase subunit LIP1	1.0	0.999	1	2	2	2	0	0	2	0	0	2	0	0	2	3690510.2	3416733.0	1.1507464E7	3995689.2	3699272.8	5490642.0	
sp|Q03629|YMH9_YEAST	Q03629	YMH9_YEAST	YML079W	201	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uncharacterized protein YML079W	1.0	0.999	2	5	5	5	2	1	2	2	1	2	2	1	2	9389707.0	8196714.0	1.3793238E7	5032162.5	5486293.0	9163058.0	
sp|Q03640|TCB3_YEAST	Q03640	TCB3_YEAST	TCB3	1545	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Tricalbin-3	1.0	0.999	19	61	61	61	20	21	20	20	21	20	20	21	20	1.64327104E8	1.70371008E8	1.51323008E8	2.468511E7	2.2639342E7	2.3759292E7	
sp|Q03655|GAS3_YEAST	Q03655	GAS3_YEAST	GAS3	524	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Probable 1,3-beta-glucanosyltransferase GAS3	1.0	0.999	3	6	6	6	2	1	3	2	1	3	2	1	3	7528361.0	1.2363692E7	2.329778E7	5996043.5	8394125.0	1.693655E7	
sp|Q03667|MIX17_YEAST	Q03667	MIX17_YEAST	MIX17	156	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial intermembrane space cysteine motif-containing protein MIX17	1.0	0.999	3	8	8	8	2	2	4	2	2	4	2	2	4	2.1959516E7	3.0154058E7	3.4148776E7	8511010.0	1.2631756E7	1.2871501E7	
sp|Q03690|CLU_YEAST	Q03690	CLU_YEAST	CLU1	1277	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Clustered mitochondria protein 1	1.0	0.999	29	114	114	114	36	38	40	36	38	40	36	38	40	3.36448416E8	3.85775616E8	3.63617568E8	3.8178884E7	3.8372572E7	4.0184104E7	
sp|Q03705|CG121_YEAST	Q03705	CG121_YEAST	CGI121	181	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	EKC/KEOPS complex subunit CGI121	0.9463	0.9983	1	1	1	1	1	0	0	1	0	0	1	0	0	2796249.8	1947866.5	3162817.5	2796249.8	1947866.5	3162817.5	
sp|Q03768|GIR2_YEAST	Q03768	GIR2_YEAST	GIR2	265	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein GIR2	0.9667	0.999	1	1	1	1	0	1	0	0	1	0	0	1	0	800790.25	1459529.2	1456691.9	800790.25	1459529.2	1456691.9	
